시험고유번호,시험명,과목,대단원,중단원,정답,배점,표준반응시간(초),표준총응시시간(초),생성일,과정번호,분류코드
194,구미여고2_수학2_2023년_1학기_중간고사대비(2)_005,,,,"[2, 5, 5, 1, 4, 1, 5, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/03/29,0,
210,구미고_수학1_2023년_ 1학기_중간고사 대비(1)_001,,,,"[5, 1, 2, 2, 2, 5, 5, 4]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600.0,2023/04/01,0,
211,구미고_수학1_2023년_ 1학기_중간고사 대비(1)_002,,,,"[1, 15, 5, 1, 4, 5, 2, 141]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600.0,2023/04/01,0,
212,구미고_수학1_2023년_ 1학기_중간고사 대비(1)_003,,,,"[4, 2, -2, 1, 4, 1, 5, 3]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600.0,2023/04/01,0,
213,구미고_수학1_2023년_ 1학기_중간고사 대비(1)_004,,,,"[22, 1, 2, 3, 3, 4, 4, 2]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600.0,2023/04/01,0,
214,구미고_수학1_2023년_ 1학기_중간고사 대비(1)_005,,,,"[4, 5, 2, 4, 4, 2, 2, 4]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600.0,2023/04/01,0,
217,구미여고2_확통_2023년 1학기_중간고사대비(1)_001,,,,"[60, 120, 1, 5, 180, 5, -100, 30]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/04/04,0,
218,구미여고2_확통_2023년 1학기_중간고사대비(1)_002,,,,"[6, 1, 5, 120, 1, 5, 15, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480.0,2023/04/04,0,
219,수학(상)_현일고1_학교기출(다항식~이차함수)(1)_001,,,,"[4, 1, 346, 4, 4, 2, 4, 8]","[8, 8, 8, 8, 8, 8, 26, 26]","[60, 60, 60, 60, 60, 60, 180, 180]",720.0,2023/04/05,0,
220,수학(상)_현일고1_학교기출(다항식~이차함수)(1)_002,,,,"[2, 3, 3, 2, 5, 5, 5, 2]","[8, 8, 8, 8, 8, 8, 26, 26]","[60, 60, 60, 60, 60, 60, 180, 180]",720.0,2023/04/05,0,
221,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_001,,,,"[4, 3, 2, 5, 2, 4, 4, 5, 5, 4, 1, 3, 3, 5, 4, 5, 5, 1, 3, 4, 2, 4, 3, 4]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
222,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_002,,,,"[5, 16, 3, 4, 2, 3, 2, 4, 3, 2, 2, 4, 2, 3, 5, 3, 5, 3, 3, 2, 5, 2, 1, 2]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
223,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_003,,,,"[1, 199, 1, 4, 4, 4, 44, 2, 5, 3, 1, 4, 1, -3, 5, 5, 1, 3, 3, 5, 5, 1, 2, 5]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
224,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_004,,,,"[4, 1, 5, 2, 6, 5, 3, 5, 2, 4, 4, 1, 1, 2, 5, 4, 4, 6, 5, 4, 10, 4, 1, 3]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
225,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_005,,,,"['1', '5', '3', '1', '7', '3', '4', '15', '5', '5', '2', '3', '2', '3', '5', '4,5', '10', '2', '4', '-13', '5', '3', '-3', '5']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
226,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_006,,,,"[4, 4, 3, 5, 5, 3, 12, 2, 1, 1, 2, 9, 4, 12, 2, 30, 12, 1, 3, 3, 3, 2, 14, 5]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
227,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_007,,,,"['2', '3', '5', '9', '3', '4', '-6', '2', '1', '4', '210', '4', '3', '3', '4', '1', '6', '4', '3', '1', '2,4', '1', '3', '3']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
228,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_008,,,,"[4, 5, 4, 4, 1, 3, 2, 4, 21, 3, 3, 5, 2, 5, 3, 2, 2, 5, 3, 4, 9, 2, 2, 58]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
229,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_009,,,,"['-7', '4', '1', '1', '3', '1', '3,4', '3', '5', '2', '2', '4', '3', '3', '4', '2,5', '4,5', '2', '2', '4', '1', '4', '4', '1']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
230,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_010,,,,"[-8, 2, 2, 2, 1, 30, 4, 2, 5, -1, 2, 5, 1, 2, 4, 2, 3, 4, 2, 1, 4, 9, 3, -1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
231,구미중3_2023년 1학기_중간고사대비(제곱근~인수분해)(2)_011,,,,"['3', '3', '2', '2', '5', '3', '2', '4', '2', '2', '2', '1,4', '3', '5', '5', '4', '3', '4', '9', '3', '1', '4', '3', '21']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",1440.0,2023/04/06,0,
